text,label,category
[국세청] 계정 보호를 위해 재인증,smishing,계정인증
[정부24] 배송 완료 전 본인 확인 필요 https://tinyurl.com/abc123,smishing,택배
과학 수행평가 준비했어?,normal,학교
[카카오] 배송 완료 전 본인 확인 필요 https://secure-check.kr,smishing,택배
[국세청] 계정 보호를 위해 재인증,smishing,계정인증
[CJ대한통운] 본인 인증 필요 https://verify-user.net,smishing,계정인증
회의 시간이 변경되었습니다.,normal,일정
[신한은행] 계좌 이용 제한 예정,smishing,금융
[국세청] 본인 인증 필요,smishing,계정인증
[국세청] 부고장 도착,smishing,청첩장/부고
회의 시간이 변경되었습니다.,normal,일정
[신한은행] 계정 보호를 위해 재인증 https://verify-user.net,smishing,계정인증
[신한은행] 환급금 지급 대상 인증번호 9791,smishing,정부
[국세청] 포인트 소멸 예정,smishing,쇼핑몰
장 봐야 할 것 있어?,normal,가족
회의 시간이 변경되었습니다.,normal,일정
과학 수행평가 준비했어?,normal,학교
[CJ대한통운] 전자문서 도착 https://tinyurl.com/abc123 인증번호 3165,smishing,정부
[네이버] 배송 완료 전 본인 확인 필요 https://tinyurl.com/abc123,smishing,택배
[CJ대한통운] 배송 완료 전 본인 확인 필요 https://secure-check.kr,smishing,택배
[네이버] 계좌 이용 제한 예정 https://bit.ly/4A12BC,smishing,금융
[국민은행] 전자문서 도착,smishing,정부
[카카오] 배송지 정보 확인 필요,smishing,택배
저녁 먹고 들어와.,normal,가족
숙제 사진 보내줄게.,normal,학교
[쿠팡] 비밀번호 만료 예정 https://verify-user.net,smishing,계정인증
조심히 와.,normal,가족
[국세청] 주소 오류로 배송 보류 https://secure-check.kr,smishing,택배
[정부24] 주문 결제 오류,smishing,쇼핑몰
[국민은행] 본인 인증 필요,smishing,계정인증
과학 수행평가 준비했어?,normal,학교
집 도착하면 연락해.,normal,친구
[CJ대한통운] 행사 초대장 확인,smishing,청첩장/부고
[쿠팡] 배송지 정보 확인 필요 https://verify-user.net,smishing,택배
[CJ대한통운] 부고장 도착,smishing,청첩장/부고
[쿠팡] 전자문서 도착 https://verify-user.net,smishing,정부
숙제 사진 보내줄게.,normal,학교
내일 모의고사 범위 알려줘.,normal,학교
자료 메일로 보냈습니다.,normal,일정
저녁 먹고 들어와.,normal,가족
오늘 게임할래?,normal,친구
[카카오] 과태료 조회 안내 https://bit.ly/4A12BC,smishing,정부
[카카오] 모바일 청첩장 확인 https://secure-check.kr,smishing,청첩장/부고
숙제 사진 보내줄게.,normal,학교
내일 오후 2시에 만납시다.,normal,일정
[카카오] 쿠폰 지급 대상,smishing,쇼핑몰
저녁 먹고 들어와.,normal,가족
[쿠팡] 쿠폰 지급 대상 인증번호 8851,smishing,쇼핑몰
내일 오후 2시에 만납시다.,normal,일정
[CJ대한통운] 배송지 정보 확인 필요 https://secure-check.kr,smishing,택배
조심히 와.,normal,가족
[신한은행] 포인트 소멸 예정,smishing,쇼핑몰
[정부24] 행사 초대장 확인,smishing,청첩장/부고
[우체국] 포인트 소멸 예정,smishing,쇼핑몰
집 도착하면 연락해.,normal,친구
숙제 사진 보내줄게.,normal,학교
주말에 영화 보러 갈래?,normal,친구
[카카오] 행사 초대장 확인 https://verify-user.net,smishing,청첩장/부고
과학 수행평가 준비했어?,normal,학교
[신한은행] 계정 보호를 위해 재인증,smishing,계정인증
[국세청] 모바일 청첩장 확인,smishing,청첩장/부고
과학 수행평가 준비했어?,normal,학교
집 도착하면 연락해.,normal,친구
[우체국] 배송 완료 전 본인 확인 필요 https://tinyurl.com/abc123,smishing,택배
[쿠팡] 본인 인증 필요,smishing,계정인증
조심히 와.,normal,가족
[정부24] 부고장 도착,smishing,청첩장/부고
조심히 와.,normal,가족
