text,label
[국세청] 계정 보호를 위해 재인증,3
[정부24] 배송 완료 전 본인 확인 필요 https://tinyurl.com/abc123,2
과학 수행평가 준비했어?,1
[카카오] 배송 완료 전 본인 확인 필요 https://secure-check.kr,2
[국세청] 계정 보호를 위해 재인증,3
[CJ대한통운] 본인 인증 필요 https://verify-user.net,3
회의 시간이 변경되었습니다.,1
[신한은행] 계좌 이용 제한 예정,4
[국세청] 본인 인증 필요,3
[국세청] 부고장 도착,4
회의 시간이 변경되었습니다.,1
[신한은행] 계정 보호를 위해 재인증 https://verify-user.net,3
[신한은행] 환급금 지급 대상 인증번호 9791,4
[국세청] 포인트 소멸 예정,2
장 봐야 할 것 있어?,0
회의 시간이 변경되었습니다.,1
과학 수행평가 준비했어?,1
[CJ대한통운] 전자문서 도착 https://tinyurl.com/abc123 인증번호 3165,4
[네이버] 배송 완료 전 본인 확인 필요 https://tinyurl.com/abc123,2
[CJ대한통운] 배송 완료 전 본인 확인 필요 https://secure-check.kr,2
[네이버] 계좌 이용 제한 예정 https://bit.ly/4A12BC,4
[국민은행] 전자문서 도착,4
[카카오] 배송지 정보 확인 필요,2
저녁 먹고 들어와.,0
숙제 사진 보내줄게.,1
[쿠팡] 비밀번호 만료 예정 https://verify-user.net,3
조심히 와.,0
[국세청] 주소 오류로 배송 보류 https://secure-check.kr,2
[정부24] 주문 결제 오류,2
[국민은행] 본인 인증 필요,3
과학 수행평가 준비했어?,1
집 도착하면 연락해.,0
[CJ대한통운] 행사 초대장 확인,4
[쿠팡] 배송지 정보 확인 필요 https://verify-user.net,2
[CJ대한통운] 부고장 도착,4
[쿠팡] 전자문서 도착 https://verify-user.net,4
숙제 사진 보내줄게.,1
내일 모의고사 범위 알려줘.,1
자료 메일로 보냈습니다.,1
저녁 먹고 들어와.,0
오늘 게임할래?,0
[카카오] 과태료 조회 안내 https://bit.ly/4A12BC,4
[카카오] 모바일 청첩장 확인 https://secure-check.kr,4
숙제 사진 보내줄게.,1
내일 오후 2시에 만납시다.,1
[카카오] 쿠폰 지급 대상,2
저녁 먹고 들어와.,0
[쿠팡] 쿠폰 지급 대상 인증번호 8851,2
내일 오후 2시에 만납시다.,1
[CJ대한통운] 배송지 정보 확인 필요 https://secure-check.kr,2
조심히 와.,0
[신한은행] 포인트 소멸 예정,2
[정부24] 행사 초대장 확인,4
[우체국] 포인트 소멸 예정,2
집 도착하면 연락해.,0
숙제 사진 보내줄게.,1
주말에 영화 보러 갈래?,0
[카카오] 행사 초대장 확인 https://verify-user.net,4
과학 수행평가 준비했어?,1
[신한은행] 계정 보호를 위해 재인증,3
[국세청] 모바일 청첩장 확인,4
과학 수행평가 준비했어?,1
집 도착하면 연락해.,0
[우체국] 배송 완료 전 본인 확인 필요 https://tinyurl.com/abc123,2
[쿠팡] 본인 인증 필요,3
조심히 와.,0
[정부24] 부고장 도착,4
조심히 와.,0
[신한은행] 배송지 정보 확인 필요 https://tinyurl.com/abc123,2
과학 수행평가 준비했어?,1
[카카오] 계정 보호를 위해 재인증 https://bit.ly/4A12BC,3
내일 오후 2시에 만납시다.,1
[우체국] 주문 결제 오류,2
[CJ대한통운] 배송지 정보 확인 필요 https://tinyurl.com/abc123,2
오늘 게임할래?,0
[정부24] 배송 완료 전 본인 확인 필요 https://bit.ly/4A12BC,2
저녁 먹고 들어와.,0
과학 수행평가 준비했어?,1
[정부24] 부고장 도착,4
집 도착하면 연락해.,0
[우체국] 행사 초대장 확인,4
내일 오후 2시에 만납시다.,1
[정부24] 쿠폰 지급 대상 https://tinyurl.com/abc123,2
[신한은행] 환급금 지급 대상 인증번호 4696,4
주말에 영화 보러 갈래?,0
회의 시간이 변경되었습니다.,1
내일 모의고사 범위 알려줘.,1
오늘 게임할래?,0
저녁 먹고 들어와.,0
[CJ대한통운] 배송지 정보 확인 필요 https://bit.ly/4A12BC,2
[정부24] 주문 결제 오류 https://tinyurl.com/abc123 인증번호 9804,2
[우체국] 과태료 조회 안내 https://bit.ly/4A12BC,4
집 도착하면 연락해.,0
저녁 먹고 들어와.,0
자료 메일로 보냈습니다.,1
[우체국] 계정 보호를 위해 재인증 https://secure-check.kr,3
회의 시간이 변경되었습니다.,1
[네이버] 계좌 이용 제한 예정 https://bit.ly/4A12BC 인증번호 4155,4
집 도착하면 연락해.,0
[정부24] 주소 오류로 배송 보류,2
[CJ대한통운] 과태료 조회 안내 https://tinyurl.com/abc123,4
과학 수행평가 준비했어?,1
집 도착하면 연락해.,0
오늘 게임할래?,0
회의 시간이 변경되었습니다.,1
[카카오] 과태료 조회 안내 https://verify-user.net,4
장 봐야 할 것 있어?,0
[우체국] 전자문서 도착 https://bit.ly/4A12BC,4
[CJ대한통운] 배송 완료 전 본인 확인 필요 https://verify-user.net,2
회의 시간이 변경되었습니다.,1
[국민은행] 주문 결제 오류,2
[국민은행] 환급금 지급 대상,4
[신한은행] 부고장 도착 https://verify-user.net,4
회의 시간이 변경되었습니다.,1
숙제 사진 보내줄게.,1
저녁 먹고 들어와.,0
[네이버] 환급금 지급 대상,4
장 봐야 할 것 있어?,0
주말에 영화 보러 갈래?,0
주말에 영화 보러 갈래?,0
[국세청] 주소 오류로 배송 보류 https://verify-user.net 인증번호 1634,2
회의 시간이 변경되었습니다.,1
저녁 먹고 들어와.,0
[우체국] 주문 결제 오류,2
[쿠팡] 쿠폰 지급 대상 https://secure-check.kr,2
[카카오] 주소 오류로 배송 보류 https://bit.ly/4A12BC,2
[우체국] 배송 완료 전 본인 확인 필요 https://secure-check.kr 인증번호 4114,2
[쿠팡] 주문 결제 오류 https://bit.ly/4A12BC,2
숙제 사진 보내줄게.,1
집 도착하면 연락해.,0
[우체국] 행사 초대장 확인,4
내일 오후 2시에 만납시다.,1
집 도착하면 연락해.,0
내일 오후 2시에 만납시다.,1
주말에 영화 보러 갈래?,0
숙제 사진 보내줄게.,1
내일 오후 2시에 만납시다.,1
[쿠팡] 포인트 소멸 예정 https://verify-user.net,2
주말에 영화 보러 갈래?,0
[국세청] 계정 보호를 위해 재인증,3
[우체국] 전자문서 도착,4
회의 시간이 변경되었습니다.,1
과학 수행평가 준비했어?,1
[신한은행] 본인 인증 필요,3
조심히 와.,0
[카카오] 해외 결제 승인 확인 https://tinyurl.com/abc123,4
[네이버] 비정상 로그인 감지,4
[네이버] 비밀번호 만료 예정,3
오늘 게임할래?,0
[국민은행] 주문 결제 오류 https://verify-user.net 인증번호 9189,2
[국세청] 주문 결제 오류,2
회의 시간이 변경되었습니다.,1
집 도착하면 연락해.,0
집 도착하면 연락해.,0
내일 오후 2시에 만납시다.,1
주말에 영화 보러 갈래?,0
과학 수행평가 준비했어?,1
[우체국] 전자문서 도착 인증번호 9984,4
[신한은행] 쿠폰 지급 대상 https://bit.ly/4A12BC,2
[카카오] 부고장 도착,4
[정부24] 배송 완료 전 본인 확인 필요,2
집 도착하면 연락해.,0
[정부24] 배송지 정보 확인 필요,2
[국민은행] 본인 인증 필요 https://bit.ly/4A12BC,3
[쿠팡] 과태료 조회 안내,4
[카카오] 비밀번호 만료 예정 https://bit.ly/4A12BC,3
[정부24] 모바일 청첩장 확인 https://secure-check.kr,4
[신한은행] 주소 오류로 배송 보류,2
자료 메일로 보냈습니다.,1
[네이버] 해외 결제 승인 확인,4
[정부24] 본인 인증 필요 https://secure-check.kr,3
집 도착하면 연락해.,0
저녁 먹고 들어와.,0
장 봐야 할 것 있어?,0
[네이버] 주문 결제 오류 https://verify-user.net,2
과학 수행평가 준비했어?,1
장 봐야 할 것 있어?,0
[우체국] 과태료 조회 안내 https://secure-check.kr,4
자료 메일로 보냈습니다.,1
[쿠팡] 과태료 조회 안내,4
장 봐야 할 것 있어?,0
[CJ대한통운] 비밀번호 만료 예정,3
[신한은행] 쿠폰 지급 대상,2
장 봐야 할 것 있어?,0
[네이버] 배송지 정보 확인 필요 https://secure-check.kr,2
자료 메일로 보냈습니다.,1
[국세청] 본인 인증 필요 https://bit.ly/4A12BC 인증번호 3869,3
내일 오후 2시에 만납시다.,1
[우체국] 모바일 청첩장 확인 https://verify-user.net 인증번호 9882,4
[신한은행] 비밀번호 만료 예정 https://verify-user.net,3
장 봐야 할 것 있어?,0
숙제 사진 보내줄게.,1
장 봐야 할 것 있어?,0
집 도착하면 연락해.,0
오늘 게임할래?,0
[국세청] 전자문서 도착 https://secure-check.kr,4
오늘 게임할래?,0
[국세청] 행사 초대장 확인,4
집 도착하면 연락해.,0
[국민은행] 계좌 이용 제한 예정 https://verify-user.net 인증번호 4404,4
조심히 와.,0
[쿠팡] 본인 인증 필요 https://tinyurl.com/abc123,3
[우체국] 배송지 정보 확인 필요,2
[네이버] 포인트 소멸 예정 인증번호 4882,2
조심히 와.,0
[네이버] 전자문서 도착,4
[정부24] 비밀번호 만료 예정 https://bit.ly/4A12BC,3
주말에 영화 보러 갈래?,0
집 도착하면 연락해.,0
[우체국] 주소 오류로 배송 보류,2
[CJ대한통운] 행사 초대장 확인 https://verify-user.net,4
[우체국] 전자문서 도착 https://bit.ly/4A12BC,4
장 봐야 할 것 있어?,0
[카카오] 계좌 이용 제한 예정 인증번호 7658,4
회의 시간이 변경되었습니다.,1
자료 메일로 보냈습니다.,1
[국민은행] 비정상 로그인 감지 https://tinyurl.com/abc123,4
[네이버] 행사 초대장 확인 https://bit.ly/4A12BC,4
[CJ대한통운] 주소 오류로 배송 보류 https://secure-check.kr,2
[국세청] 쿠폰 지급 대상,2
[정부24] 쿠폰 지급 대상,2
[카카오] 배송 완료 전 본인 확인 필요 https://secure-check.kr 인증번호 4044,2
내일 모의고사 범위 알려줘.,1
[국세청] 배송지 정보 확인 필요,2
[카카오] 주문 결제 오류 인증번호 6152,2
[신한은행] 전자문서 도착,4
[신한은행] 포인트 소멸 예정 https://bit.ly/4A12BC,2
저녁 먹고 들어와.,0
[국세청] 비밀번호 만료 예정 https://verify-user.net,3
오늘 게임할래?,0
[국민은행] 전자문서 도착,4
[네이버] 비정상 로그인 감지 https://bit.ly/4A12BC 인증번호 2876,4
[정부24] 배송 완료 전 본인 확인 필요 인증번호 3662,2
[CJ대한통운] 계정 보호를 위해 재인증 https://verify-user.net 인증번호 2465,3
[정부24] 과태료 조회 안내 https://verify-user.net,4
[CJ대한통운] 계좌 이용 제한 예정,4
숙제 사진 보내줄게.,1
내일 모의고사 범위 알려줘.,1
[신한은행] 쿠폰 지급 대상 https://tinyurl.com/abc123,2
[우체국] 포인트 소멸 예정,2
저녁 먹고 들어와.,0
[국세청] 과태료 조회 안내 https://secure-check.kr 인증번호 4538,4
[카카오] 환급금 지급 대상 https://tinyurl.com/abc123,4
[국세청] 주소 오류로 배송 보류 인증번호 4733,2
장 봐야 할 것 있어?,0
[국민은행] 과태료 조회 안내,4
[정부24] 주문 결제 오류,2
[국민은행] 비정상 로그인 감지 https://bit.ly/4A12BC 인증번호 6355,4
[CJ대한통운] 비밀번호 만료 예정 https://secure-check.kr,3
조심히 와.,0
[우체국] 행사 초대장 확인 https://verify-user.net,4
[카카오] 비밀번호 만료 예정 https://tinyurl.com/abc123,3
[정부24] 비밀번호 만료 예정 인증번호 2800,3
자료 메일로 보냈습니다.,1
조심히 와.,0
[국세청] 쿠폰 지급 대상 https://secure-check.kr 인증번호 1440,2
[카카오] 본인 인증 필요,3
주말에 영화 보러 갈래?,0
자료 메일로 보냈습니다.,1
자료 메일로 보냈습니다.,1
집 도착하면 연락해.,0
[국민은행] 모바일 청첩장 확인,4
[CJ대한통운] 주문 결제 오류,2
조심히 와.,0
[CJ대한통운] 본인 인증 필요,3
회의 시간이 변경되었습니다.,1
과학 수행평가 준비했어?,1
주말에 영화 보러 갈래?,0
오늘 게임할래?,0
[CJ대한통운] 비정상 로그인 감지,4
[국민은행] 주문 결제 오류 https://bit.ly/4A12BC,2
오늘 게임할래?,0
내일 오후 2시에 만납시다.,1
[신한은행] 환급금 지급 대상 인증번호 8172,4
자료 메일로 보냈습니다.,1
[국세청] 행사 초대장 확인 https://secure-check.kr,4
[우체국] 모바일 청첩장 확인 https://tinyurl.com/abc123 인증번호 2402,4
과학 수행평가 준비했어?,1
[국민은행] 부고장 도착 https://verify-user.net,4
저녁 먹고 들어와.,0
[정부24] 행사 초대장 확인 인증번호 7523,4
회의 시간이 변경되었습니다.,1
숙제 사진 보내줄게.,1
[네이버] 비정상 로그인 감지 https://secure-check.kr 인증번호 6733,4
숙제 사진 보내줄게.,1
장 봐야 할 것 있어?,0
과학 수행평가 준비했어?,1
주말에 영화 보러 갈래?,0
[네이버] 비정상 로그인 감지,4
[국세청] 배송지 정보 확인 필요,2
[국민은행] 행사 초대장 확인 인증번호 4533,4
오늘 게임할래?,0
회의 시간이 변경되었습니다.,1
저녁 먹고 들어와.,0
과학 수행평가 준비했어?,1
[CJ대한통운] 비정상 로그인 감지,4
오늘 게임할래?,0
내일 모의고사 범위 알려줘.,1
[네이버] 비정상 로그인 감지 https://verify-user.net,4
주말에 영화 보러 갈래?,0
오늘 게임할래?,0
[네이버] 주문 결제 오류 https://bit.ly/4A12BC 인증번호 3525,2
[쿠팡] 배송지 정보 확인 필요 https://bit.ly/4A12BC,2
내일 모의고사 범위 알려줘.,1
과학 수행평가 준비했어?,1
[우체국] 모바일 청첩장 확인,4
숙제 사진 보내줄게.,1
[우체국] 배송지 정보 확인 필요 https://tinyurl.com/abc123 인증번호 6635,2
과학 수행평가 준비했어?,1
과학 수행평가 준비했어?,1
[네이버] 과태료 조회 안내 https://bit.ly/4A12BC 인증번호 7475,4
내일 오후 2시에 만납시다.,1
[카카오] 과태료 조회 안내 https://secure-check.kr,4
[우체국] 전자문서 도착,4
[국민은행] 과태료 조회 안내,4
숙제 사진 보내줄게.,1
[국세청] 비정상 로그인 감지,4
숙제 사진 보내줄게.,1
[CJ대한통운] 해외 결제 승인 확인 https://tinyurl.com/abc123,4
[쿠팡] 전자문서 도착 인증번호 1307,4
[카카오] 전자문서 도착 https://secure-check.kr,4
과학 수행평가 준비했어?,1
조심히 와.,0
장 봐야 할 것 있어?,0
[국세청] 계좌 이용 제한 예정 https://bit.ly/4A12BC 인증번호 9751,4
과학 수행평가 준비했어?,1
내일 오후 2시에 만납시다.,1
[정부24] 쿠폰 지급 대상 https://tinyurl.com/abc123,2
내일 오후 2시에 만납시다.,1
숙제 사진 보내줄게.,1
[우체국] 모바일 청첩장 확인 https://bit.ly/4A12BC,4
저녁 먹고 들어와.,0
집 도착하면 연락해.,0
집 도착하면 연락해.,0
[신한은행] 포인트 소멸 예정 https://secure-check.kr,2
주말에 영화 보러 갈래?,0
조심히 와.,0
[신한은행] 배송지 정보 확인 필요 https://bit.ly/4A12BC 인증번호 6464,2
내일 오후 2시에 만납시다.,1
[카카오] 비밀번호 만료 예정,3
내일 오후 2시에 만납시다.,1
내일 오후 2시에 만납시다.,1
과학 수행평가 준비했어?,1
조심히 와.,0
[쿠팡] 해외 결제 승인 확인 https://verify-user.net 인증번호 4978,4
[네이버] 모바일 청첩장 확인 https://verify-user.net,4
조심히 와.,0
회의 시간이 변경되었습니다.,1
[정부24] 행사 초대장 확인,4
과학 수행평가 준비했어?,1
회의 시간이 변경되었습니다.,1
[국세청] 포인트 소멸 예정 https://bit.ly/4A12BC,2
저녁 먹고 들어와.,0
내일 오후 2시에 만납시다.,1
[네이버] 주소 오류로 배송 보류 https://verify-user.net,2
집 도착하면 연락해.,0
[국세청] 배송 완료 전 본인 확인 필요,2
[카카오] 환급금 지급 대상,4
내일 오후 2시에 만납시다.,1
저녁 먹고 들어와.,0
[국민은행] 비밀번호 만료 예정 https://bit.ly/4A12BC,3
저녁 먹고 들어와.,0
[CJ대한통운] 환급금 지급 대상 https://verify-user.net,4
내일 오후 2시에 만납시다.,1
내일 오후 2시에 만납시다.,1
[국민은행] 배송 완료 전 본인 확인 필요,2
[네이버] 과태료 조회 안내,4
주말에 영화 보러 갈래?,0
내일 오후 2시에 만납시다.,1
회의 시간이 변경되었습니다.,1
저녁 먹고 들어와.,0
[신한은행] 모바일 청첩장 확인 https://verify-user.net,4
회의 시간이 변경되었습니다.,1
저녁 먹고 들어와.,0
주말에 영화 보러 갈래?,0
자료 메일로 보냈습니다.,1
오늘 게임할래?,0
집 도착하면 연락해.,0
자료 메일로 보냈습니다.,1
[네이버] 본인 인증 필요,3
[쿠팡] 포인트 소멸 예정 https://bit.ly/4A12BC,2
내일 모의고사 범위 알려줘.,1
내일 모의고사 범위 알려줘.,1
집 도착하면 연락해.,0
[카카오] 주문 결제 오류 https://verify-user.net 인증번호 2284,2
[우체국] 과태료 조회 안내 https://bit.ly/4A12BC 인증번호 3001,4
과학 수행평가 준비했어?,1
[신한은행] 과태료 조회 안내 https://verify-user.net,4
[우체국] 주소 오류로 배송 보류,2
[정부24] 배송 완료 전 본인 확인 필요 https://bit.ly/4A12BC,2
장 봐야 할 것 있어?,0
오늘 게임할래?,0
[카카오] 비정상 로그인 감지,4
[우체국] 계정 보호를 위해 재인증,3
[CJ대한통운] 환급금 지급 대상 https://tinyurl.com/abc123,4
장 봐야 할 것 있어?,0
저녁 먹고 들어와.,0
장 봐야 할 것 있어?,0
회의 시간이 변경되었습니다.,1
[카카오] 전자문서 도착 인증번호 8398,4
내일 오후 2시에 만납시다.,1
회의 시간이 변경되었습니다.,1
내일 모의고사 범위 알려줘.,1
회의 시간이 변경되었습니다.,1
[국세청] 계좌 이용 제한 예정 인증번호 7274,4
저녁 먹고 들어와.,0
숙제 사진 보내줄게.,1
[CJ대한통운] 비정상 로그인 감지,4
[정부24] 부고장 도착,4
내일 모의고사 범위 알려줘.,1
[쿠팡] 쿠폰 지급 대상,2
[신한은행] 배송 완료 전 본인 확인 필요 https://secure-check.kr 인증번호 7912,2
저녁 먹고 들어와.,0
자료 메일로 보냈습니다.,1
오늘 게임할래?,0
내일 모의고사 범위 알려줘.,1
주말에 영화 보러 갈래?,0
과학 수행평가 준비했어?,1
[신한은행] 주문 결제 오류,2
주말에 영화 보러 갈래?,0
[국세청] 쿠폰 지급 대상 https://secure-check.kr 인증번호 7985,2
[신한은행] 쿠폰 지급 대상,2
[정부24] 전자문서 도착,4
오늘 게임할래?,0
[신한은행] 행사 초대장 확인,4
숙제 사진 보내줄게.,1
[정부24] 전자문서 도착,4
숙제 사진 보내줄게.,1
[국민은행] 환급금 지급 대상,4
조심히 와.,0
[쿠팡] 비밀번호 만료 예정 https://tinyurl.com/abc123 인증번호 9813,3
[네이버] 본인 인증 필요 인증번호 7739,3
[신한은행] 본인 인증 필요 https://secure-check.kr,3
자료 메일로 보냈습니다.,1
[국세청] 주문 결제 오류,2
내일 오후 2시에 만납시다.,1
주말에 영화 보러 갈래?,0
[우체국] 모바일 청첩장 확인 https://verify-user.net,4
집 도착하면 연락해.,0
장 봐야 할 것 있어?,0
자료 메일로 보냈습니다.,1
[국세청] 비정상 로그인 감지 https://tinyurl.com/abc123,4
[카카오] 모바일 청첩장 확인,4
[CJ대한통운] 모바일 청첩장 확인 https://tinyurl.com/abc123,4
집 도착하면 연락해.,0
장 봐야 할 것 있어?,0
[CJ대한통운] 포인트 소멸 예정,2
[카카오] 비밀번호 만료 예정 인증번호 4920,3
[신한은행] 배송 완료 전 본인 확인 필요 https://bit.ly/4A12BC 인증번호 3286,2
[쿠팡] 계정 보호를 위해 재인증,3
내일 오후 2시에 만납시다.,1
주말에 영화 보러 갈래?,0
오늘 게임할래?,0
[국세청] 비밀번호 만료 예정,3
회의 시간이 변경되었습니다.,1
[네이버] 포인트 소멸 예정 https://tinyurl.com/abc123 인증번호 4519,2
[CJ대한통운] 부고장 도착,4
회의 시간이 변경되었습니다.,1
자료 메일로 보냈습니다.,1
숙제 사진 보내줄게.,1
내일 오후 2시에 만납시다.,1
집 도착하면 연락해.,0
저녁 먹고 들어와.,0
[정부24] 계정 보호를 위해 재인증 인증번호 7284,3
[네이버] 주소 오류로 배송 보류 인증번호 2612,2
숙제 사진 보내줄게.,1
[국민은행] 과태료 조회 안내 https://secure-check.kr,4
숙제 사진 보내줄게.,1
집 도착하면 연락해.,0
[신한은행] 환급금 지급 대상 https://verify-user.net,4
[정부24] 포인트 소멸 예정,2
